service,asset_class,symbol,classification,primary_value,bid,ask,age_seconds,timestamp_utc,timestamp_source,error_type,error_message,latency_ms,rpc_calls,notes
vwap,crypto,TWTUSDT,ok,0.5756418558049049,,,15.1,2026-09-24T14:42:25.628000+00:00,upstream,,,161,1,
vwap,crypto,TXEUR,stale,0.001818378591027086,,,7371.3,2026-09-24T12:39:49.603000+00:00,upstream,,,172,1,age 7371s > 300s
vwap,crypto,TXNONUSD,ok,272.34423687515414,,,3.0,2026-09-24T14:42:38.064000+00:00,upstream,,,176,1,
vwap,crypto,TXNONUSDT,ok,272.3983333333333,,,3.2,2026-09-24T14:42:38.064000+00:00,upstream,,,192,1,
vwap,crypto,TXUSD,ok,0.0020606422186294133,,,42.1,2026-09-24T14:41:59.282000+00:00,upstream,,,152,1,
vwap,crypto,TXUSDT,ok,0.002064533818722881,,,84.6,2026-09-24T14:41:17+00:00,upstream,,,190,1,
vwap,crypto,UBERONUSD,ok,69.8266046330661,,,1.2,2026-09-24T14:42:40.575000+00:00,upstream,,,177,1,
vwap,crypto,UBERONUSDT,ok,69.84062761506276,,,1.3,2026-09-24T14:42:40.575000+00:00,upstream,,,170,1,
vwap,crypto,UBERXUSD,stale,69.3,,,3362.1,2026-09-24T13:46:39.946000+00:00,upstream,,,145,1,age 3362s > 300s
vwap,crypto,UBNB,ok,0.0012792713341183246,,,1.3,2026-09-24T14:42:40.935000+00:00,upstream,,,145,1,
vwap,crypto,UBTC,ok,1.1829267796924703e-05,,,1.3,2026-09-24T14:42:41.057000+00:00,upstream,,,159,1,
vwap,crypto,UBTCHYPE,stale,911.5623765630726,,,1987.9,2026-09-24T14:09:34.676000+00:00,upstream,,,170,1,age 1988s > 300s
vwap,crypto,UBTCUSD,ok,84486.81759716754,,,0.7,2026-09-24T14:42:42.043000+00:00,upstream,,,185,1,
vwap,crypto,UBTCUSDC,ok,84486.57197496522,,,0.9,2026-09-24T14:42:42.043000+00:00,upstream,,,188,1,
vwap,crypto,UBTCUSDH,stale,77187.61262071576,,,10453154.7,2026-05-26T15:03:28.381000+00:00,upstream,,,191,1,age 10453155s > 300s
vwap,crypto,UBTCWHYPE,stale,911.5623765630726,,,1988.6,2026-09-24T14:09:34.676000+00:00,upstream,,,158,1,age 1989s > 300s
vwap,crypto,UETH,ok,0.00037235687391196304,,,1.7,2026-09-24T14:42:41.735000+00:00,upstream,,,151,1,
vwap,crypto,UETHHYPE,ok,28.775334905243867,,,229.0,2026-09-24T14:38:54.675000+00:00,upstream,,,178,1,
vwap,crypto,UETHUSD,ok,2684.3654792326665,,,1.2,2026-09-24T14:42:42.650000+00:00,upstream,,,197,1,
vwap,crypto,UETHUSDC,ok,2684.3657889822593,,,1.3,2026-09-24T14:42:42.650000+00:00,upstream,,,165,1,
vwap,crypto,UETHUSDH,stale,2114.0810434782607,,,10453517.0,2026-05-26T14:57:27.160000+00:00,upstream,,,187,1,age 10453517s > 300s
vwap,crypto,UETHWHYPE,ok,28.775334905243867,,,229.6,2026-09-24T14:38:54.675000+00:00,upstream,,,174,1,
vwap,crypto,UFARTHYPE,stale,0.001983115279698351,,,81155.5,2026-09-23T16:10:09.019000+00:00,upstream,,,170,1,age 81155s > 300s
vwap,crypto,UFARTUSD,stale,0.19288025878172393,,,304.4,2026-09-24T14:37:40.197000+00:00,upstream,,,148,1,age 304s > 300s
vwap,crypto,UFARTUSDC,stale,0.192886574414923,,,304.6,2026-09-24T14:37:40.197000+00:00,upstream,,,164,1,age 305s > 300s
vwap,crypto,UFARTWHYPE,stale,0.001983115279698351,,,81155.9,2026-09-23T16:10:09.019000+00:00,upstream,,,155,1,age 81156s > 300s
vwap,crypto,ULTRAETHSETH,error,,,,,,,BlocksizeAPIError[-32603],internal error,140,0,
vwap,crypto,ULTRAETHSWETH,error,,,,,,,BlocksizeAPIError[-32603],internal error,196,0,
vwap,crypto,UMAAAVE,error,,,,,,,BlocksizeAPIError[-32603],internal error,169,0,
vwap,crypto,UMAAMPL,error,,,,,,,BlocksizeAPIError[-32603],internal error,152,0,
vwap,crypto,UMACRV,error,,,,,,,BlocksizeAPIError[-32603],internal error,188,0,
vwap,crypto,UMADAI,error,,,,,,,BlocksizeAPIError[-32603],internal error,171,0,
vwap,crypto,UMAETH,stale,0.00015071250907553604,,,2077.2,2026-09-24T14:08:08.938000+00:00,upstream,,,152,1,age 2077s > 300s
vwap,crypto,UMAFEI,error,,,,,,,BlocksizeAPIError[-32603],internal error,159,0,
vwap,crypto,UMAGRT,error,,,,,,,BlocksizeAPIError[-32603],internal error,181,0,
vwap,crypto,UMALDO,error,,,,,,,BlocksizeAPIError[-32603],internal error,174,0,
vwap,crypto,UMALINK,error,,,,,,,BlocksizeAPIError[-32603],internal error,160,0,
vwap,crypto,UMAMKR,stale,0.0002559738148637718,,,151779.1,2026-09-22T20:33:07.910000+00:00,upstream,,,176,1,age 151779s > 300s
vwap,crypto,UMAREN,error,,,,,,,BlocksizeAPIError[-32603],internal error,178,0,
vwap,crypto,UMASNX,error,,,,,,,BlocksizeAPIError[-32603],internal error,153,0,
vwap,crypto,UMAUNI,stale,0.04134275636458741,,,135579.6,2026-09-23T01:03:07.901000+00:00,upstream,,,186,1,age 135580s > 300s
vwap,crypto,UMAUSD,ok,0.4088687670677071,,,110.8,2026-09-24T14:40:56.897000+00:00,upstream,,,160,1,
vwap,crypto,UMAUSDC,ok,0.4096078479460455,,,125.7,2026-09-24T14:40:42.109000+00:00,upstream,,,175,1,
vwap,crypto,UMAUSDT,stale,0.4069999999999999,,,1360.5,2026-09-24T14:20:07.480000+00:00,upstream,,,179,1,age 1361s > 300s
vwap,crypto,UMAWAVAX,stale,12.86701205564957,,,80165.4,2026-09-23T16:26:42.746000+00:00,upstream,,,175,1,age 80165s > 300s
vwap,crypto,UMAWETH,stale,0.00015071250907553604,,,2079.4,2026-09-24T14:08:08.938000+00:00,upstream,,,179,1,age 2079s > 300s
vwap,crypto,UMAWNXM,error,,,,,,,BlocksizeAPIError[-32603],internal error,162,0,
vwap,crypto,UMAWSTETH,error,,,,,,,BlocksizeAPIError[-32603],internal error,163,0,
vwap,crypto,UMAYFI,error,,,,,,,BlocksizeAPIError[-32603],internal error,165,0,
vwap,crypto,UNFIEUR,ok,0.0325,,,62.3,2026-09-24T14:41:46.779000+00:00,upstream,,,177,1,
vwap,crypto,UNFIUSD,ok,0.036626772584396894,,,62.4,2026-09-24T14:41:46.779000+00:00,upstream,,,173,1,
vwap,crypto,UNHONUSD,ok,381.99147733858456,,,73.4,2026-09-24T14:41:36.047000+00:00,upstream,,,177,1,
vwap,crypto,UNHONUSDT,ok,382.06788979136826,,,73.5,2026-09-24T14:41:36.047000+00:00,upstream,,,160,1,
vwap,crypto,UNHXUSD,ok,383.1730626681813,,,77.7,2026-09-24T14:41:32+00:00,upstream,,,170,1,
vwap,crypto,UNHXUSDT,ok,383.2507494145198,,,77.9,2026-09-24T14:41:32+00:00,upstream,,,170,1,
vwap,crypto,UNIAAVE,ok,0.06446120507720579,,,258.4,2026-09-24T14:38:31.702000+00:00,upstream,,,177,1,
vwap,crypto,UNIAMP,error,,,,,,,BlocksizeAPIError[-32603],internal error,177,0,
vwap,crypto,UNIAMPL,error,,,,,,,BlocksizeAPIError[-32603],internal error,161,0,
vwap,crypto,UNIAPE,error,,,,,,,BlocksizeAPIError[-32603],internal error,161,0,
